"Keys","Russian"
"Pizza.Elena.077","Джордж, я верю и не сомневаюсь в вас. Просто сообщите мне адрес, и всё будет в порядке."
"Pizza.Elena.078","Нам просто нужно вернуться к первоначальному обсуждению. Иначе..."
"Pizza.Elena.079","Марта, пожалуйста... Не делайте глупостей."
"Pizza.Elena.080","Кажется, мы попали в неудобную ситуацию. Джордж, можете включить громкую связь?"
"Pizza.Elena.081","Джордж! Вы можете выломать дверь?"
"Pizza.Elena.082","Не волнуйтесь, мы найдём её. Мои коллеги..."
"Pizza.Elena.083","Алло, Марта! Давайте все вместе подумаем, как прийти к миру."
"Pizza.Elena.084","Не стоит отказываться от сотрудничества, Марта. Подумайте о последствиях своих действий..."
"Pizza.Elena.085","Вы говорите, что хотите веселиться? Я правильно поняла?"
"Pizza.Elena.086","Достаточно оскорблений, Джордж."
"Pizza.Elena.087","Вас это тоже касается!"
"Pizza.Elena.088","Разойдитесь, как в море корабли. Если вы травите друг другу жизнь, то..."
"Pizza.Elena.089","Так сбегите вместе. На одну ночь. Забудьте обо всём. И веселитесь до утра. Только не нарушайте закон, пожалуйста!"
"Pizza.Elena.090","Ваш сожитель очень старается, Марта. Возможно, у него не всегда всё получается... Но я уверена, что вы решите свои проблемы, если мирно обсудитесь. Не бросайтесь в крайности."
"Pizza.Elena.091","Вы выбрались? Алло?"
